"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26406","Verify clickability, titles, href, status code of series links on the page","tests","2026-09-01","passed","2026-09-01","TestExercisesRuWordsPage","exercises_ru_words_page_test","",""
"","10782","Select a random card from ""Слова с частотной группировкой"" group and compare UI vs BACKEND data.","tests","2026-09-01","skipped","2026-09-01","TestCardsRU","Речевые упражнения.","",""
"","112","Verify attributes of images in specialist cards in the grid","tests","2026-09-01","passed","2026-09-01","TestSpecialistsPage","specialists_page_test","",""
"","107","Verify the composition and visibility of elements 
        on the 1st-4th levels of nesting on the page","tests","2026-09-01","passed","2026-09-01","TestURPage","used_resources_page_test","",""
"","30","Verify presence and visibility of the Footer","tests","2026-09-01","passed","2026-09-01","TestFooter","footer_test","",""
"","47","Verify size of the image in the Logo link in the Header on the Start Unauthorized Page","tests","2026-09-01","passed","2026-09-01","TestHeaderPage","header_test","",""
"","75","Verify content of the text in sections 1, 2, 3","tests","2026-09-01","passed","2026-09-01","TestStartUnauthorizedPage","start_unauthorized_page_test","",""
"","2196","Verify presence, visibility of titles/subtitles, cards, descriptions, links, images on the page","tests","2026-09-01","passed","2026-09-01","TestContributorsPage","contributors_page_test","",""
"","3839","Check registration with new email","tests","2026-09-01","passed","2026-09-01","TestRegistrationPage","registration_page_test","",""
"","1447","Verify that links in the sections lead to the correct pages after clicking","tests","2026-09-01","passed","2026-09-01","TestURPage","used_resources_page_test","",""
"","7450","Change the password by receiving an email link","tests","2026-09-01","passed","2026-09-01","TestProfilePage","profile_page_test","",""
"","24","Verify presence and visibility of content on the page","tests","2026-09-01","passed","2026-09-01","TestSpecialistsPage","specialists_page_test","",""
"","1018","Check registration with an existing email","tests","2026-09-01","passed","2026-09-01","TestRegistrationPage","registration_page_test","",""
"","642","Verify redirection to specialists page not authorized user.","tests","2026-09-01","passed","2026-09-01","TestMainPage","main_page_test","",""
